Account,Date,total_trades,net_volume,gross_volume,total_pnl,wins,losses,max_drawdown,num_trades,win_rate,timestamp,value,classification,date,sharpe_ratio,signal
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-06-12,33,300.0,300.0,-175611.00005600002,0,33,-117990.1041,33,0.0,1718170200,72,Greed,2024-06-12,,Sell
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,-281.0,281.0,0.0,0,0,0.0,177,0.0,1731303000,76,Extreme Greed,2024-11-11,,Hold
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-03,45,0.0,59.3362,9482.221441,36,0,0.0,45,1.0,1735882200,74,Greed,2025-01-03,,Sell
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,0.0,600.0,76710.0,9,0,0.0,10,1.0,1738474200,60,Greed,2025-02-02,,Sell
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-02,839,-400.0,9078.259,101011.685664,256,115,-19841.24014,839,0.6900269541778976,1740893400,26,Fear,2025-03-02,0.9319630627234109,Buy
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,641,8276.5498,9125.2102,533974.662903,540,0,0.0,641,1.0,1740979800,33,Fear,2025-03-03,2.404371029169009,Buy
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-02,531,-299.79999999999995,15699.8,375620.270243,83,28,-5149.876128,531,0.7477477477477478,1743571800,44,Fear,2025-04-02,1.6723010756570982,Buy
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-05-02,210,-599.5464000000001,2033.5464,44400.9058,78,0,0.0,210,1.0,1746163800,67,Greed,2025-05-02,0.204739771521732,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-01-12,1,-0.00736001,0.00736001,0.0,0,0,0.0,1,0.0,1705037400,71,Greed,2024-01-12,0.0,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-06-12,34,3761.97,3761.97,0.0,0,0,0.0,34,0.0,1718170200,72,Greed,2024-06-12,0.0,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-07-12,26,-3760.6533117799995,3760.6533117799995,3515.031065,25,0,0.0,26,1.0,1720762200,25,Fear,2024-07-12,0.021471689976514597,Buy
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-09-12,46,4109.51,4109.51,0.0,0,0,0.0,46,0.0,1726119000,31,Fear,2024-09-12,0.0,Buy
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-12,64,-4108.0716733,4108.0716733,2517.787385,63,0,0.0,64,1.0,1728711000,49,Neutral,2024-10-12,1.4903815012977386,Hold
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-02,78,1.099999999999909,6327.02,1162.002541,25,0,0.0,78,1.0,1735795800,70,Greed,2025-01-02,0.7465064749343262,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-05,250,0.259999999999863,10498.84,1243.853569,81,0,0.0,250,1.0,1736055000,72,Greed,2025-01-05,0.9176125507215159,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,517,551628.49989,1027391.96011,6352.452613,233,13,-360.22304,517,0.9471544715447154,1738474200,60,Greed,2025-02-02,2.5847623782893985,Sell
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,110,-3863.7200000000003,11166.5,2480.902379,50,0,0.0,110,1.0,1740979800,33,Fear,2025-03-03,1.172960738944956,Buy
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,1,4564.05,4564.05,0.0,0,0,0.0,1,0.0,1741066200,15,Extreme Fear,2025-03-04,0.0,Hold
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,65,1.2600000000002183,7151.5,-3169.3554679999997,0,10,-3003.330755,65,0.0,1743658200,25,Fear,2025-04-03,-0.9096530604881108,Buy
0x271b280974205ca63b716753467d5a371de622ab,2024-05-12,4,-1.1102230246251565e-16,40.9446,208.81746,3,0,0.0,4,1.0,1715491800,56,Greed,2024-05-12,0.05924110917037352,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-01-12,193,-21225.065,35277.865,4458.25495,97,11,-11.881397,193,0.8981481481481481,1705037400,71,Greed,2024-01-12,1.5532610417229336,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-02-12,140,6011.89998,18269.42002,1283.846047,73,2,-13.4992,140,0.9733333333333334,1707715800,70,Greed,2024-02-12,0.4682849346922443,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-03-12,78,-823.9399999999999,17808.14,1190.358719,37,0,0.0,78,1.0,1710221400,81,Extreme Greed,2024-03-12,0.43557001980936794,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-04-12,112,-1380.6100000000001,16235.83,9066.169646,60,1,-0.058696,112,0.9836065573770492,1712899800,79,Extreme Greed,2024-04-12,2.499075090661805,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-05-12,98,3108.56,9077.82,14685.787664,48,0,0.0,98,1.0,1715491800,56,Greed,2024-05-12,2.5516167484564845,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-06-12,69,-1577.1100000000001,5888.71,389.176232,16,0,0.0,69,1.0,1718170200,72,Greed,2024-06-12,0.061648084886428756,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-07-12,86,-488.86,7718.98,4008.012049,36,0,0.0,86,1.0,1720762200,25,Fear,2024-07-12,0.669540320677953,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-08-12,102,-8640.6,11124.0,554.009942,43,0,0.0,102,1.0,1723440600,25,Fear,2024-08-12,0.09058543519964722,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-09-12,213,968.2500000000006,50284.770000000004,768.430838,126,3,-0.639806,213,0.9767441860465116,1726119000,31,Fear,2024-09-12,0.12569003417392133,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-12,157,31456.1,71642.14,980.557461,106,4,-17.95399,157,0.9636363636363636,1728711000,49,Neutral,2024-10-12,0.650245308474819,Hold
